they | they | person:Pronoun | arrested | arrest | Michael Stewart | Michael Stewart | person:Stanford
A medical bulletin | bulletin |  | be issued at | be issue at | Mr. Barbie 's hospital | hospital | building:WordNet,structure:WordNet
Mr. Barbie 's condition | condition |  | ''requires | ''require | some special examinations that will allow a quick determination of the necessity and the nature of a treatment | examination | activity:WordNet
they | they | person:Pronoun | believed of | believe of | a trial | trial | activity:WordNet
a trial | trial | activity:WordNet | would never take | take | place | place | location:WordNet
Mr. Barbie | Mr. Barbie | person:Stanford | to name as | to name as | collaborators | collaborator | person:WordNet
the preparation | preparation | activity:WordNet | was not unduly long in | be in | the French judicial system | system | 
Personal troubles | trouble |  | continued to hound | continue to hound | Dwight Gooden | Dwight Gooden | person:Stanford
Personal troubles | trouble |  | to hound | to hound | Dwight Gooden | Dwight Gooden | person:Stanford
she | she | person:Pronoun | was meeting | be meet | the pitching star of the Mets | star | 
Gooden | Gooden | organization:Stanford,person:Stanford | was inbound from | be inbound from | his home | home | location:WordNet
the Port Authority police | police | organization:WordNet | arrested | arrest | his friend | friend | person:WordNet
she | she | person:Pronoun | was passing both felonies through | be pass felony through | the security checkpoint | checkpoint | location:WordNet
she | she | person:Pronoun | was passing both felonies at | be pass felony at | the Delta Airlines terminal | terminal | 
she | she | person:Pronoun | was passing | be pass | both felonies | felony | activity:WordNet
a loaded two-shot derringer | derringer | device:WordNet | was detected in | be detect in | her handbag | handbag | 
She | She | person:Pronoun | was charged with | be charge with | criminal possession of stolen property | possession | activity:WordNet
she | she | person:Pronoun | got | get | the gun | gun | device:WordNet
she | she | person:Pronoun | was doing with | be do with | it | it | 
I | I | person:Pronoun | 'm as surprised as | be surprise | anyone | anyone | 
she | she | person:Pronoun | intended to harm | intend to harm | me | I | person:Pronoun
she | she | person:Pronoun | to harm | to harm | me | I | person:Pronoun
The 22-year-old pitcher | pitcher | person:WordNet | flew to | fly to | New York | New York | location:Stanford
The 22-year-old pitcher | pitcher | person:WordNet | flew in | fly in | just one week | week | time_period:WordNet
he | he | person:Pronoun | had been placed on | be place on | probation | probation | time_period:WordNet
he | he | person:Pronoun | had been placed for | be place for | three years | year | time_period:WordNet
the Mets | Mets | organization:Stanford | won | win | the World Series | World Series | 
he and Ms. Pearson | Ms. Pearson | person:Stanford | broke | break | their engagement | engagement | 
he | he | person:Pronoun | was | be | the father of a nine-month-old son | father | person:WordNet
he | he | person:Pronoun | was the father of | be father of | a nine-month-old son born to Debra Hamilton who had been a high school friend | son | person:WordNet
they | they | person:Pronoun | were reconciled by | be reconcile by | telephone | telephone | equipment:WordNet
they | they | person:Pronoun | were reconciled in | be reconcile in | the last week or so | week | time_period:WordNet
Jay Horwitz | Jay Horwitz | person:Stanford | be public relations director of | be relation director of | the Mets | Mets | organization:Stanford
They | They | person:Pronoun | made | make | plans to go furniture shopping | plan | 
She | She | person:Pronoun | came up from | come up from | her home | home | location:WordNet
She | She | person:Pronoun | came up to | come up to | her home | home | location:WordNet
She | She | person:Pronoun | came up on | come up on | Thursday | Thursday | time_unit:Stanford,time_unit:Day
She | She | person:Pronoun | came up in | come up in | Thursday | Thursday | time_unit:Stanford,time_unit:Day
She | She | person:Pronoun | was flying up from | be fly up from | Florida | Florida | location:Stanford
She | She | person:Pronoun | was flying up to meet | be fly up to meet | her | she | person:Pronoun
Doc | Doc |  | was flying up from | be fly up from | Florida | Florida | location:Stanford
Doc | Doc |  | was flying up to meet | be fly up to meet | her | she | person:Pronoun
Ms. Pearson | Ms. Pearson | person:Stanford | went to | go to | La Guardia Airport | La Guardia Airport | location:Stanford
La Guardia Airport | La Guardia Airport | location:Stanford | be a friend of | be friend of | Gooden | Gooden | person:Stanford,location:Stanford
La Guardia Airport | La Guardia Airport | location:Stanford | be a friend of Gooden from | be friend of Gooden from | Long Island | Long Island | location:Stanford
She | She | person:Pronoun | was going through | be go through | the security checkpoint | checkpoint | location:WordNet
his plane | plane |  | arrived at | arrive at | the gate | gate | structure:WordNet
his plane | plane |  | arrived in | arrive in | the gate | gate | structure:WordNet
Armando Arrastia | Armando Arrastia | person:Stanford | be a spokesman for | be spokesman for | the Port Authority | Port Authority | organization:Stanford
Armando Arrastia | Armando Arrastia | person:Stanford | gave | give | this account what happened next | account | 
the Delta security person | person | person:WordNet | noticed | notice | the pistol | pistol | device:WordNet
the Delta security person | person | person:WordNet | notified | notify | Vincent Russo | Vincent Russo | person:Stanford
Vincent Russo | Vincent Russo | person:Stanford | be the Port Authority officer there on | be Port Authority officer on | duty | duty | 
She | She | person:Pronoun | was taken to | be take to | the Port Authority police building | building | building:WordNet,structure:WordNet
the Delta security person | person | person:WordNet | checked with | check with | the Florida authorities | authority | organization:WordNet
they | they | person:Pronoun | checked with | check with | the Florida authorities | authority | organization:WordNet
They | They | person:Pronoun | were advised by | be advise by | the Hillsborough County Sheriff | Hillsborough County Sheriff | location:Stanford
It | It |  | 's | be | a .38-caliber | .38-caliber | 
Ms. Pearson | Ms. Pearson | person:Stanford | said | say | she | she | person:Pronoun
the pistol | pistol | device:WordNet | had been given to | be give to | her | she | person:Pronoun
it | it |  | was in | be in | her handbag | handbag | 
Ms. Pearson | Ms. Pearson | person:Stanford | was arraigned in | be arraign in | last night | night | time_period:WordNet,time:Stanford
Ms. Pearson | Ms. Pearson | person:Stanford | was arraigned before | be arraign before | Judge Melvin Glass | Judge Melvin Glass | organization:Stanford,person:Stanford
she | she | person:Pronoun | posted | post | bail of $ 1,500 | bail | 
She | She | person:Pronoun | to return for | to return for | a hearing | hearing | 
Gooden | Gooden | person:Stanford | went then Washington to | go Washington to | Shea Stadium | Shea Stadium | location:Stanford,person:Stanford
Gooden | Gooden | person:Stanford | went then Washington to | go Washington to | his condominium | condominium | structure:WordNet
Gooden | Gooden | person:Stanford | went then | go | Washington | Washington | location:Stanford
He | He | person:Pronoun | indicated in | indicate in | last night | night | time_period:WordNet,time:Stanford
He | He | person:Pronoun | indicated of | indicate of | he | he | person:Pronoun
he | he | person:Pronoun | would probably return | return | home | home | location:WordNet
Modern tournament players | player | person:WordNet | favor | favor | the limit treatment | treatment | activity:WordNet
Traditionalists | Traditionalists | person:WordNet | use | use | the jump raise | raise | 
a hand | hand |  | be too weak for | be for | a forcing raise | raise | 
a hand | hand |  | be too weak for | be for | a single raise she correctly temporized with two clubs | raise | 
she | she | person:Pronoun | correctly temporized with | temporize with | two clubs | club | organization:WordNet
it | it |  | opened | open | the door | door | structure:WordNet
the lead | lead |  | was | be | the heart king South was Sarah Armour | South | location:WordNet
South | South | location:WordNet | was | be | Sarah Armour | Sarah Armour | person:Stanford
the lead | lead |  | took | take | full advantage | advantage | 
the lead | lead |  | took full advantage of | take advantage of | the opportunity | opportunity | 
the lead | lead |  | took full advantage | take advantage | She | She | person:Pronoun
she | she | person:Pronoun | took | take | full advantage | advantage | 
she | she | person:Pronoun | took full advantage of | take advantage of | the opportunity | opportunity | 
she | she | person:Pronoun | took full advantage | take advantage | She | She | person:Pronoun
She | She | person:Pronoun | won with | win with | the heart ace | ace | 
She | She | person:Pronoun | made | make | the key play , missed at other tables , of ruffing | ruffing | 
House Democratic leaders | leader | person:WordNet,leader:WordNet | predicted in | predict in | today | today | 
the House | House | organization:Stanford | would vote to kill | vote to kill | a proposal to give a $ 12,100 pay increase to members of Congress | Congress | organization:Stanford
the House | House | organization:Stanford | to kill | to kill | a proposal to give a $ 12,100 pay increase to members of Congress | Congress | organization:Stanford
The proposed pay increase | increase |  | will take | take | effect | effect | effect:WordNet
The proposed pay increase | increase |  | will take effect at | take effect at | 12:01 | 12:01 | number:NUM
The proposed pay increase | increase |  | will take effect unless | take effect unless | the House and Senate vote | House | organization:Stanford
the Senate | Senate | organization:Stanford | voted | vote | 88 to 6 to reject the proposal | proposal | 
The Senate | Senate | organization:Stanford | attached | attach | the resolution rejecting the raise to a bill | raise | 
a bill | bill |  | providing emergency aid to | provide emergency aid to | the homeless | homeless | person:WordNet
the raise | raise |  | to take | to take | effect | effect | effect:WordNet
we | we | person:Pronoun | would agree to | agree to | the Senate amendment | amendment | 
we | we | person:Pronoun | pass | pass | the bill | bill | 
Representative Tony Coelho of California | Representative Tony Coelho | organization:Stanford,person:Stanford | said | say | he | he | person:Pronoun
he | he | person:Pronoun | thought of | think of | the House | House | organization:Stanford
The pay raise proposal | proposal |  | also provided | provide | increases | increase | 
The proposal | proposal |  | would raise | raise | Congressional salaries | salary | 
The pay raise vote | vote |  | was | be | a major topic of conversation | topic | 
The pay raise vote | vote |  | was a major topic of | be topic of | conversation | conversation | 
The pay raise vote | vote |  | was a major topic of conversation on | be topic of conversation on | board a 20-car train that took more than 100 House Democrats to their sixth annual issues conference | train | 
The pay raise vote | vote |  | was a major topic of conversation for | be topic of conversation for | the third consecutive year | year | time_period:WordNet
board a 20-car train | train |  | took more than 100 House Democrats to | take than House Democrats to | their sixth annual issues conference | conference | 
the meeting | meeting |  | was held at | be hold at | the Greenbrier resort | resort | structure:WordNet,building:WordNet
the meeting | meeting |  | was held in | be hold in | the Greenbrier resort | resort | structure:WordNet,building:WordNet
the meeting | meeting |  | was held on | be hold on | the Greenbrier resort | resort | structure:WordNet,building:WordNet
Members of Congress | Members | person:WordNet | will face probably none requiring such political courage whether to pay higher salaries themselves 2,500 other top Federal officials | face none require courage whether to pay salary Federal official | issues of greater obvious importance | issue | 
These raises | raise |  | are in | be in | everyone 's best interest | interest | 
they | they | person:Pronoun | take | take | effect | effect | effect:WordNet
The House | House | organization:Stanford | should resist | resist | pressure to follow suit | pressure | 
Government | Government |  | cannot attract | attract | the people public service needs | service | activity:WordNet
the quadrennial Federal pay commission | commission | organization:WordNet | called for | call for | increases | increase | 
they | they | person:Pronoun | strike | strike | a balance | balance | 
austerity and the need | austerity |  | to make up for | to make up for | severe erosion | erosion | 
occupants of these jobs | occupant | person:WordNet | could earn | earn | two or three times as much | time | 
occupants of these jobs | occupant | person:WordNet | could earn two or three times as much in | earn time as in | private life | life | 
the financial loss | loss |  | outweighs | outweigh | the appeal of public service | appeal | 
the public | public |  | loses | lose | able officials | official | person:WordNet
Some people who support | people | person:People | pay The raises go into effect to | pay raise go into effect to | the backdoor method increasing them | method | 
Some people who support | people | person:People | pay raises object to | pay raise object to | the backdoor method increasing them | method | 
Congress | Congress | organization:Stanford | votes against | vote against | them | they | person:Pronoun
a majority of legislators | majority | number:WordNet | can summon up | summon up | the nerve to overcome fear of a voter backlash | fear | 
That fear | fear |  | produced | produce | the pay erosion that now must be overcome | erosion | 
Cabinet members | member | person:WordNet | hold | hold | their jobs | job | activity:WordNet
Cabinet members | member | person:WordNet | hold their jobs for | hold job for | limited periods | period | time_period:WordNet
Judges | Judges |  | accept | accept | appointments | appointment | 
them | they | person:Pronoun | be hostages to | be hostage to | the political fears of legislators | fear | 
Other reforms | reform |  | may be in | be in | order | order | 
The pay commission | commission | organization:WordNet | recommended for | recommend for | example | example | 
the price of Congressional | price |  | raises | raise | no more speech fees or other honorariums | fee | 
the raises | raise |  | take | take | effect | effect | effect:WordNet
The Administration | Administration | organization:Stanford | announced in | announce in | today | today | 
it | it |  | would immediately ask | ask | Congress | Congress | organization:Stanford
it | it |  | would immediately ask Congress for | ask Congress for | funds | fund | 
it | it |  | would immediately ask Congress to start | ask Congress to start | planning | planning | activity:WordNet
The Administration | Administration | organization:Stanford | building | build | a giant $ 6 billion atom smasher | smasher | person:WordNet
The device | device | device:WordNet | be a superconducting supercollider in | be superconducting supercollider in | a 52-mile oval tunnel | tunnel | 
The device | device | device:WordNet | would dwarf | dwarf | existing machines used to probe the secrets of matter and energy | secret | 
subatomic particles | particle | substance:WordNet | moving at | move at | high speed | speed | 
subatomic particles moving at high speed | particle | substance:WordNet | is scientifically significant as | be as | America 's 1969 manned landing | landing | 
The device | device | device:WordNet | would accelerate | accelerate | atomic particles | particle | substance:WordNet
The device | device | device:WordNet | would accelerate atomic particles to | accelerate particle to | an energy level 20 times greater | time | 
The need | need |  | has been debated for | be debate for | years | year | time_period:WordNet
the United States | United States | location:Stanford | is to stay on | be to stay on | the frontiers of particle physics | frontier | location:WordNet
the United States | United States | location:Stanford | to stay on | to stay on | the frontiers of particle physics | frontier | location:WordNet
the supercollider | supercollider |  | may provide | provide | new insights | insight | 
the supercollider | supercollider |  | be new insights into | be insight into | the elementary forces and particles of the universe | universe | 
it | it |  | to produce | to produce | commensurate results | result | effect:WordNet
a site decision | decision |  | was still away at least | be at | months | month | time_period:WordNet
this afternoon | afternoon | time_period:WordNet | followed | follow | a showdown | showdown | 
one Administration official | official | person:WordNet | described as | describe as | feeling | feeling | 
country | country | organization:WordNet | did n't need | need | it | it | 
one Administration official | official | person:WordNet | said in | say in | today | today | time_unit:Stanford
one Administration official | official | person:WordNet | said of | say of | it | it | 
the President | President |  | did not mention | mention | the project | project | activity:WordNet
the President | President |  | did not mention the project in | mention project in | his State of the Union Message | State | location:WordNet
the President | President |  | did not mention the project on | mention project on | Tuesday | Tuesday | time_unit:Stanford,time_unit:Day
Foreign governments , and perhaps the state in which the project is eventually set up | government | organization:WordNet | to share in | to share in | the costs | cost | 
Construction of the above-ground research facilities | Construction | activity:WordNet | would create | create | 4,500 jobs | 4,500 | number:NUM
A staff of scientists | scientist | person:WordNet | would total | total | at least 2,500 | 2,500 | number:NUM
500 others | other |  | to have | to | visitor status | status | 
The accelerator | accelerator |  | will send | send | two beams of protons | beam | 
The accelerator | accelerator |  | will send two beams of protons speeding through the tunnel in opposite directions at | send beam of proton speed through tunnel in direction at | several junctures the beams will cross and collide | beam | 
The accelerator | accelerator |  | will send two beams of protons speeding through the tunnel in opposite directions creating | send beam of proton speed through tunnel in direction create | a flash of energy | flash | 
protons | proton |  | speeding through | speed through | the tunnel | tunnel | 
such collisions | collision |  | taking place at | take place at | energy levels | level | 
such collisions taking place at energy levels higher than ever achieved before | place | location:WordNet | will disclose | disclose | the existence of a host of new particles | existence | 
The speeding protons | proton |  | will be contained in | be contain in | their path | path | 
The speeding protons | proton |  | will be contained by | be contain by | powerful electromagnets cooled by liquid helium to temperatures so low that their coils lose all resistence to electricity | electromagnet | device:WordNet
powerful electromagnets | electromagnet | device:WordNet | be cooled by | be cool by | liquid helium | helium | substance:WordNet
powerful electromagnets | electromagnet | device:WordNet | be cooled to | be cool to | temperatures so low | temperature | 
their coils | coil | structure:WordNet | lose | lose | all resistence | resistence | 
the states | state | location:WordNet | vying for | vie for | the project | project | activity:WordNet
Alvin W. Trivelpiece | Alvin W. Trivelpiece | person:Stanford | be the department 's director of | be department 's director of | energy research | research | activity:WordNet
Mr. Herrington | Mr. Herrington | person:Stanford | said of | say of | the ''fair and open '' site-selection process | process | activity:WordNet
the ''fair and open '' site-selection process | process | activity:WordNet | would take | take | months or years | month | time_period:WordNet
he | he | person:Pronoun | promised to say more about site selection at | promise to say about site selection at | another briefing | briefing | 
he | he | person:Pronoun | to say more about site selection at | to say about site selection at | another briefing | briefing | 
The project | project | activity:WordNet | would be | be | a costly venture | venture | activity:WordNet
basic research yielding | research | activity:WordNet | be possibly major scientific insights into the creation of matter - of the universe and the world - but with few firmly predictable practical applications . ' No Military into | be insight into creation of matter - of universe world - with application . ' into | the creation of matter | creation | activity:WordNet
basic research yielding | research | activity:WordNet | be possibly major scientific insights of | be insight of | the universe and the world - but with few firmly predictable practical applications . ' No Military | universe | 
today | today |  | called suddenly after | call after | Senator Phil Gramm | Senator Phil Gramm | person:Stanford
the President | President |  | would approve | approve | the project | project | activity:WordNet
Mr. Herrington | Mr. Herrington | person:Stanford | seemed to give | seem to give | much emphasis | emphasis | 
Mr. Herrington | Mr. Herrington | person:Stanford | seemed to give as much emphasis to | seem to give emphasis to | the psychological and national morale implications | implication | 
Mr. Herrington | Mr. Herrington | person:Stanford | to give as much emphasis to | to give emphasis to | the psychological and national morale implications | implication | 
the decision | decision |  | ''of | ''of | tremendous scientific significance and historical consequence | significance | 
''It | ''It |  | is forward Once again | be | a tremendous leap | leap | 
''It | ''It |  | is a tremendous leap forward Once again for | be leap for | America and for science and technology | America | location:Stanford
we | we | person:Pronoun | are embarking on | be embark on | an adventure of unlimited opportunity | adventure | activity:WordNet
The world 's largest existing atom smashers | smasher | person:WordNet | are at | be at | the Fermi National Laboratory | Fermi National Laboratory | organization:Stanford
physicists | physicist | person:WordNet | are constructing | be construct | a 16-mile accelerator | accelerator | 
One advocate | advocate | person:WordNet | restrained Dr. Stanley G. Wojcicki , of the Lawrence Berkeley Laboratory of the University of California | restrain Dr. Stanley G. Wojcicki , of Lawrence Berkeley Laboratory of University of California | his glee | glee | 
One advocate | advocate | person:WordNet | restrained Dr. Stanley G. Wojcicki , of the Lawrence Berkeley Laboratory of the University of California in | restrain Dr. Stanley G. Wojcicki , of Lawrence Berkeley Laboratory of University of California in | today | today | 
One advocate | advocate | person:WordNet | restrained his glee in | restrain glee in | today | today | 
One advocate | advocate | person:WordNet | restrained his glee | restrain glee | Dr. Stanley G. Wojcicki , of the Lawrence Berkeley Laboratory of the University of California | Dr. Stanley G. Wojcicki | person:Stanford
it | it |  | 's just | be | the first step | step | 
the project | project | activity:WordNet | would sap | sap | Federal funds | fund | 
the giant facility | facility |  | will yield | yield | more discoveries | discovery | 
John E. Pike | John E. Pike | person:Stanford | be associate director of | be director of | the Federation of American Scientists | Federation | organization:Stanford
the Federation of American Scientists | Federation | organization:Stanford | be a private group in | be group in | Washington | Washington | location:Stanford
we | we | person:Pronoun | may be at | be at | the point where scientists can no longer justify the cost | point | 
scientists | scientist | person:WordNet | can no longer justify | justify | the cost | cost | 
Dr. Arno Penzias | Dr. Arno Penzias | person:Stanford | be a Nobel laureate in | be Nobel laureate in | physics | physics | drug:WordNet
Dr. Arno Penzias | Dr. Arno Penzias | person:Stanford | be a Nobel laureate at | be Nobel laureate at | A.T.&T . Bell Laboratories | A.T.&T | organization:Stanford
Dr. Arno Penzias | Dr. Arno Penzias | person:Stanford | has criticized much it based small laboratories universities | criticize base laboratory university | the supercollider | supercollider | 
Dr. Arno Penzias | Dr. Arno Penzias | person:Stanford | has criticized the supercollider much it based small laboratories universities as | criticize supercollider base laboratory university as | a threat | threat | 
the question to be answered | question |  | is | be | contribution of resources | contribution | activity:WordNet
the question to be answered | question |  | is contribution of | be contribution of | resources | resource | 
The supercollider 's capital cost | cost |  | will clearly squeeze | squeeze | capital expenditures | expenditure | 
The supercollider 's capital cost | cost |  | will clearly squeeze capital expenditures for | squeeze capital expenditure for | the other sciences | science | 
Mr. Herrington | Mr. Herrington | person:Stanford | said of | say of | he | he | person:Pronoun
funds | fund |  | be appropriated for | be appropriate for | other projects | project | activity:WordNet
He | He | person:Pronoun | predicted | predict | bipartisan support | support | activity:WordNet
the dollar | dollar |  | rose sharply despite | rise despite | some profit taking in New York late | New York | location:Stanford
the dollar 's major strength | strength |  | stemmed from | stem from | the belief which was later justified , that the United States ' December trade figures would show a huge improvement over the record $ 19.2 billion deficit | belief | 
the United States ' December trade figures | figure |  | would show | show | a huge improvement | improvement | 
$ 19.2 billion deficit | deficit |  | be previously reported for | be report for | November | November | time_unit:Stanford
The dollar | dollar |  | was particularly strong against | be against | the West German mark | mark | 
New York currency dealers | dealer | person:WordNet | closed | close | their books | book | publication:WordNet,book:WordNet
New York currency dealers | dealer | person:WordNet | closed their books for | close book for | the weekend | weekend | time_period:WordNet
James Baker | James Baker | person:Stanford | be a trader at | be trader at | Bank Julius Baer of Zurich | Bank Julius Baer | organization:Stanford
James Baker | James Baker | person:Stanford | quoted | quote | the mark | mark | 
James Baker | James Baker | person:Stanford | quoted the mark at | quote mark at | 1.8330 | 1.8330 | number:NUM
James Baker | James Baker | person:Stanford | quoted the mark to | quote mark to | the dollar | dollar | 
The strength of the dollar | strength |  | caused | cause | gold to tumble by $ 8 | gold | 
The dollar 's rise | rise |  | also caused | cause | a steep plunge | plunge | activity:WordNet,sport:WordNet
the losses | loss |  | were trimmed by | be trim by | the end of the day | end | location:WordNet
the demand | demand |  | was uncommonly strong in | be in | West Germany | West Germany | location:Stanford
the Bundesbank | Bundesbank | organization:Stanford | eased | ease | credit | credit | 
The central bank | bank |  | canceled | cancel | a scheduled sale of three-day Treasury bills | sale | 
The central bank | bank |  | canceled a scheduled sale of three-day Treasury bills at | cancel schedule sale of Treasury bill at | a time | time | 
One result of the increase | result | effect:WordNet | was | be | that call money rates | rate | 
One result of the increase | result | effect:WordNet | was | be | The rate decline | decline | 
One result of the increase | result | effect:WordNet | was | be | dealers | dealer | person:WordNet
The rate decline | decline |  | caused | cause | a dramatic rush out | rush | 
the trade figures | figure |  | were announced in | be announce in | Washington | Washington | location:Stanford
Albert Soria | Albert Soria | person:Stanford | be manager of | be manager of | foreign exchange trading | trading | 
Albert Soria | Albert Soria | person:Stanford | be manager of foreign exchange trading at | be manager of exchange trading at | the Swiss Bank Corporation | Swiss Bank Corporation | organization:Stanford
more buying | buying |  | here overseas overseas established | establish | new long positions | position | location:WordNet
some foreign-exchange houses | house | building:WordNet,structure:WordNet | here overseas overseas established | establish | new long positions | position | location:WordNet
the fundamentals | fundamental |  | still point to | point to | a further decline | decline | 
dealers | dealer | person:WordNet | are still waiting for | be wait for | Washington | Washington | location:Stanford
it | it |  | would no longer tolerate | tolerate | a further decline | decline | 
the dollar | dollar |  | might even resume | resume | its decline | decline | 
the dollar | dollar |  | might even resume its decline before | resume decline before | next week 's Treasury auctions of $ 29 billion of notes | note | 
a weaker dollar | dollar |  | could inhibit | inhibit | foreign buyers of the Treasury 's quarterly refunding issues | buyer | person:WordNet
others | other |  | noted that | note that | the record $ 9.36 billion December trade surplus reported by Japan yesterday would generate sufficient interest in the auctions Japan 's 1986 trade surplus was given as $ 86 billion | surplus | 
$ 9.36 billion December trade surplus | surplus |  | be reported by | be report by | Japan | Japan | location:Stanford
$ 9.36 billion December trade surplus | surplus |  | would generate | generate | sufficient interest | interest | 
the dollar | dollar |  | was also helped in | be help in | yesterday | yesterday | time_unit:WordNet
the dollar | dollar |  | was also helped by | be help by | comments | comment | 
the marketplace | marketplace | activity:WordNet | set | set | the dollar 's value | value | 
they | they | person:Pronoun | were confused by | be confuse by | his further comment | comment | 
the Administration | Administration |  | was considering | be consider | a meeting | meeting | 
a Group of Five meeting | Group | organization:Stanford | to stabilize | to stabilize | currency rates | rate | 
other major currencies | currency |  | also lost | lose | ground | ground | 
other major currencies | currency |  | also lost ground to | lose ground to | the dollar | dollar | 
Mr. Baker | Mr. Baker | person:Stanford | quoted up from 1.5060 | quote from | the dollar | dollar | 
Mr. Baker | Mr. Baker | person:Stanford | quoted the dollar up from 1.5060 at | quote dollar from at | 1.5460 Swiss francs | franc | money:Stanford
Mr. Baker | Mr. Baker | person:Stanford | quoted the dollar up from 1.5060 on | quote dollar from on | Thursday | Thursday | time_unit:Stanford,time_unit:Day
other major currencies | currency |  | took $ 1.5140 to buy | take $ to buy | a British pound | pound | 
it | it |  | took $ 1.5140 to buy | take $ to buy | a British pound | pound | 
other major currencies | currency |  | to buy | to buy | a British pound | pound | 
it | it |  | to buy | to buy | a British pound | pound | 
it | it |  | remained considerably weaker on | remain on | Jan | Jan | time_unit:Stanford
it | it |  | took $ 1.49 to buy | take $ to buy | a British pound | pound | 
it | it |  | to buy | to buy | a British pound | pound | 
Congress | Congress | organization:Stanford | to eliminate | to eliminate | a law that requires the F.C.C. to hold hearings | law | 
the F.C.C. | F.C.C. |  | to hold | to hold | hearings | hearing | 
The broadcasters | broadcaster | person:WordNet | want to revoke | want to revoke | the so-called comparative license renewal provision of the Communications Act | provision | 
The broadcasters | broadcaster | person:WordNet | want under | want under | the provision | provision | 
the Federal Communications Commission | Federal Communications Commission | organization:Stanford | must hold | hold | a hearing | hearing | 
The F.C.C. | F.C.C. |  | then awards | award | the license | license | 
The F.C.C. | F.C.C. |  | then awards the license to | award license to | the best-qualified candidate | candidate | person:WordNet,leader:WordNet
Few broadcasters | broadcaster | person:WordNet | have lost | lose | their license | license | 
such proceedings | proceedings |  | have been ordered by | be order by | the F.C.C. | F.C.C. | organization:Stanford
a license holder 's right to keep a license may be challenged | right |  | be cost incumbent license holders hundreds of | be cost license holder hundred of | thousands of dollars | dollar | 
That practice | practice | activity:WordNet | has promoted | promote | widespread charges | charge | activity:WordNet
bounty hunters | hunter | person:WordNet | use | use | it | it | 
bounty hunters | hunter | person:WordNet | use it for | use for | extortion | extortion | 
Mr. Swift | Mr. Swift | person:Stanford | be a member of | be member of | the House Committee | House Committee | organization:Stanford
he | he | person:Pronoun | was trying to determine from | be try to determine from | broadcast officials what concessions the industry should make in exchange for eliminating the comparative renewal process | official | person:WordNet
concessions | concession |  | should be make in | be make in | exchange | exchange | 
Broadcasters | Broadcasters | person:WordNet | have indicated | indicate | a willingness to discuss strengthening the process | willingness | 
a party | party | organization:WordNet | may ask | ask | the F.C.C. | F.C.C. | organization:Stanford
a party | party | organization:WordNet | may ask the F.C.C. to refuse | ask F.C.C. to refuse | a licensee 's renewal application | application | activity:WordNet
a willingness to discuss strengthening the process | willingness |  | be restoration of | be restoration of | a rule abolished in 1981 | rule | 
a rule | rule |  | be abolished in | be abolish in | 1981 | 1981 | number:NUM,time_unit:Stanford
broadcasters | broadcaster | person:WordNet | to hold | to hold | their license | license | 
broadcasters | broadcaster | person:WordNet | to hold their license for | to hold license for | at least three years | year | time_period:WordNet
a provision | provision |  | could include | include | the restoration of guidelines | guideline | 
